Frame,BoxID,Translation,Roll,Pitch,Yaw
1,0,0.00,-2.16,-9.05,-6.89
1,1,0.00,7.02,-15.78,-28.35
2,1,0.00,7.02,-15.78,-28.35
2,0,2.00,-2.16,-9.09,-6.86
3,1,0.00,7.02,-15.78,-28.35
3,0,0.00,-2.16,-9.09,-6.86
4,1,0.00,7.02,-15.78,-28.35
4,0,0.00,-2.16,-9.09,-6.86
5,1,0.00,7.02,-15.78,-28.35
5,0,0.00,-2.16,-9.09,-6.86
6,1,0.00,7.02,-15.78,-28.35
6,0,0.00,-2.16,-9.09,-6.86
7,1,0.00,7.02,-15.78,-28.35
7,0,0.00,-2.16,-9.09,-6.86
8,1,0.00,7.02,-15.78,-28.35
8,0,2.00,-2.15,-9.12,-6.83
9,1,0.50,6.92,-15.78,-28.08
9,0,0.00,-2.15,-9.12,-6.83
10,1,1.12,7.23,-15.69,-28.81
10,0,2.62,-2.17,-8.94,-7.01
11,1,0.00,7.23,-15.69,-28.81
11,0,2.25,-2.13,-9.22,-6.80
12,1,2.00,7.21,-15.66,-28.72
12,0,3.04,-2.29,-9.73,-7.17
13,1,0.00,7.21,-15.66,-28.72
13,0,1.75,-2.11,-9.33,-6.77
14,1,1.00,6.97,-15.65,-28.28
14,0,4.23,-1.86,-9.08,-7.21
15,1,0.00,6.97,-15.65,-28.28
15,0,4.72,-2.08,-9.54,-6.70
16,1,1.75,7.01,-15.34,-27.93
16,0,4.47,-2.06,-9.64,-6.67
17,1,0.97,7.16,-15.53,-28.65
17,0,4.47,-2.04,-9.74,-6.63
18,1,2.00,7.14,-15.50,-28.56
18,0,6.32,-2.01,-9.88,-6.55
19,1,1.00,6.89,-15.48,-28.12
19,0,4.46,-1.86,-9.67,-6.67
20,1,2.24,7.09,-15.37,-28.49
20,0,6.39,-1.96,-10.12,-6.43
21,1,2.24,6.82,-15.32,-27.95
21,0,8.94,-1.92,-10.32,-6.33
22,1,0.00,6.82,-15.32,-27.95
22,0,8.70,-1.63,-10.17,-6.72
23,1,2.49,7.21,-14.63,-27.98
23,0,8.45,-1.83,-10.69,-6.10
24,1,2.24,6.94,-14.57,-27.43
24,0,8.94,-1.78,-10.89,-5.99
25,1,2.83,6.89,-14.44,-27.36
25,0,11.66,-1.71,-11.16,-5.85
26,1,1.99,6.89,-14.91,-28.11
26,0,10.77,-1.65,-11.39,-5.68
27,1,2.25,6.62,-15.12,-27.19
27,0,10.77,-1.59,-11.61,-5.50
28,1,2.26,6.82,-14.75,-27.95
28,0,11.85,-1.40,-11.70,-4.97
29,1,4.47,6.75,-14.59,-27.79
29,0,12.43,-1.44,-12.11,-5.10
30,1,2.44,6.20,-15.13,-27.33
30,0,13.17,-1.11,-12.04,-5.35
31,1,2.70,6.44,-14.42,-27.18
31,0,15.47,-1.25,-12.70,-4.57
32,1,4.47,6.37,-14.26,-27.02
32,0,13.42,-1.16,-12.97,-4.31
33,1,4.47,6.30,-14.10,-26.86
33,0,15.23,-1.05,-13.25,-3.98
34,1,2.83,6.25,-13.97,-26.79
34,0,15.23,-0.95,-13.53,-3.65
35,1,4.47,6.19,-13.81,-26.63
35,0,17.09,-0.83,-13.81,-3.24
36,1,4.47,6.12,-13.66,-26.47
36,0,16.12,-0.72,-14.12,-2.89
37,1,4.03,5.98,-13.51,-26.09
37,0,17.09,-0.60,-14.38,-2.45
38,1,5.41,6.18,-13.27,-26.65
38,0,17.89,-0.48,-14.69,-2.01
39,1,4.47,6.12,-13.12,-26.50
39,0,17.89,-0.36,-14.99,-1.55
40,1,4.76,5.92,-12.67,-26.51
40,0,17.09,-0.24,-15.21,-1.06
41,1,6.52,5.75,-12.75,-25.63
41,0,19.70,-0.11,-15.49,-0.51
42,1,5.00,5.87,-12.53,-25.97
42,0,17.89,0.00,-15.76,0.00
43,1,6.71,5.57,-12.32,-25.25
43,0,19.70,0.12,-16.01,0.59
44,1,5.00,5.69,-12.11,-25.60
44,0,19.70,0.23,-16.25,1.20
45,1,6.71,5.40,-11.90,-24.88
45,0,17.89,0.33,-16.48,1.76
46,1,7.21,5.29,-11.63,-24.67
46,0,19.70,0.42,-16.69,2.41
47,1,6.71,5.40,-11.39,-24.94
47,0,18.75,0.53,-17.23,3.02
48,1,6.49,5.19,-10.91,-24.88
48,0,19.91,0.60,-17.00,3.73
49,1,7.69,4.90,-10.90,-23.61
49,0,17.89,0.66,-17.19,4.35
50,1,6.49,5.11,-10.69,-24.29
50,0,19.70,0.72,-17.35,5.06
51,1,7.21,5.00,-10.43,-24.08
51,0,19.24,0.79,-17.73,5.78
52,1,7.21,4.90,-10.17,-23.87
52,0,18.34,0.79,-17.66,6.47
53,1,8.94,4.78,-9.89,-23.59
53,0,19.70,0.81,-17.79,7.23
54,1,7.45,4.89,-8.97,-23.07
54,0,17.09,0.82,-17.85,7.91
55,1,8.69,4.56,-9.36,-23.10
55,0,17.89,0.81,-17.99,8.64
56,1,7.21,4.46,-9.11,-22.90
56,0,17.64,0.78,-18.00,9.43
57,1,8.94,4.35,-8.84,-22.62
57,0,17.34,0.77,-18.17,10.10
58,1,9.43,4.06,-8.53,-21.83
58,0,16.12,0.72,-18.33,10.80
59,1,7.21,3.97,-8.29,-21.64
59,0,17.09,0.67,-18.37,11.55
60,1,8.94,3.86,-8.03,-21.36
60,0,15.23,0.61,-18.44,12.24
61,1,9.43,3.89,-7.74,-21.62
61,0,15.23,0.54,-18.50,12.95
62,0,13.66,0.49,-18.84,12.98
62,1,8.94,3.79,-7.49,-21.36
63,0,14.98,0.37,-18.68,14.30
63,1,9.43,3.52,-7.18,-20.58
64,0,13.42,0.28,-18.79,14.95
64,1,9.43,3.55,-6.91,-20.85
65,0,10.77,0.20,-18.83,15.48
65,1,9.43,3.29,-6.61,-20.07
66,0,13.42,0.09,-18.95,16.15
66,1,10.77,3.19,-6.35,-19.74
67,0,10.77,0.00,-19.01,16.70
67,1,9.43,3.20,-6.11,-20.02
68,0,10.77,-0.09,-19.07,17.25
68,1,9.24,3.06,-5.56,-20.71
69,0,10.77,-0.19,-19.13,17.80
69,1,9.63,2.97,-5.58,-19.54
70,0,8.94,-0.28,-19.23,18.27
70,1,11.18,2.73,-5.27,-18.70
71,0,8.94,-0.38,-19.33,18.73
71,1,9.43,2.74,-5.05,-18.99
72,0,8.94,-0.48,-19.44,19.20
72,1,9.43,2.51,-4.78,-18.23
73,0,6.32,-0.54,-19.46,19.54
73,1,11.18,2.51,-4.55,-18.46
74,0,7.21,-0.63,-19.61,19.91
74,1,9.19,2.16,-4.70,-17.70
75,0,6.32,-0.70,-19.64,20.25
75,1,9.68,2.29,-4.09,-18.01
76,0,4.48,-0.69,-19.75,19.88
76,1,11.18,2.08,-3.81,-17.20
77,0,6.30,-0.83,-19.73,20.83
77,1,9.43,-2.09,-3.69,17.76
78,0,4.47,-0.88,-19.80,21.07
78,1,9.43,-1.93,-3.54,17.52
79,0,4.23,-0.90,-19.28,21.30
79,1,11.18,-1.95,-3.47,18.39
80,0,3.11,-0.99,-19.96,21.45
80,1,9.43,-1.78,-3.32,18.15
81,0,2.00,-1.00,-19.93,21.55
81,1,11.18,-1.79,-3.23,19.03
82,0,2.83,-1.05,-20.03,21.69
82,1,9.43,-1.63,-3.07,18.80
83,0,2.00,-1.06,-20.00,21.79
83,1,9.43,-1.62,-2.96,19.61
84,0,2.00,-1.08,-19.97,21.90
84,1,11.18,-1.47,-2.80,19.47
85,0,2.83,-1.12,-20.07,22.03
85,1,9.43,-1.45,-2.68,20.28
86,0,0.00,-1.12,-20.07,22.03
86,1,9.43,-1.30,-2.49,20.07
87,0,0.00,-1.12,-20.07,22.03
87,1,9.43,-1.27,-2.36,20.88
88,0,2.00,-1.14,-20.05,22.14
88,1,9.43,-1.12,-2.17,20.68
89,0,0.00,-1.14,-20.05,22.14
89,1,11.18,-1.09,-2.04,21.57
90,0,0.00,-1.14,-20.05,22.14
90,1,8.94,-1.01,-1.90,21.88
91,0,0.00,-1.14,-20.05,22.14
91,1,9.43,-0.86,-1.69,21.68
92,0,0.00,-1.14,-20.05,22.14
92,1,9.43,-0.81,-1.54,22.50
93,0,0.00,-1.14,-20.05,22.14
93,1,8.94,-0.73,-1.39,22.81
94,0,0.00,-1.14,-20.05,22.14
94,1,9.43,-0.59,-1.16,22.63
95,0,0.00,-1.14,-20.05,22.14
95,1,7.21,-0.50,-1.00,22.87
96,0,0.00,-1.14,-20.05,22.14
96,1,9.43,-0.43,-0.83,23.69
97,0,0.00,-1.14,-20.05,22.14
97,1,8.94,-0.34,-0.66,24.01
98,0,0.00,-1.14,-20.05,22.14
98,1,7.21,-0.26,-0.49,24.25
99,0,0.00,-1.14,-20.05,22.14
99,1,8.94,-0.17,-0.32,24.57
100,0,0.00,-1.14,-20.05,22.14
100,1,7.21,-0.08,-0.15,24.82
101,0,0.00,-1.14,-20.05,22.14
101,1,8.94,-0.01,0.02,-12.74
102,0,0.00,-1.14,-20.05,22.14
102,1,7.21,-0.07,0.10,-12.62
103,0,0.00,-1.14,-20.05,22.14
103,1,7.21,-0.13,0.18,-12.49
104,0,0.00,-1.14,-20.05,22.14
104,1,8.54,-0.18,0.26,-11.85
105,0,0.00,-1.14,-20.05,22.14
105,1,7.21,-0.24,0.33,-11.72
106,0,0.00,-1.14,-20.05,22.14
106,1,6.71,-0.28,0.38,-12.08
107,0,0.00,-1.14,-20.05,22.14
107,1,7.21,-0.34,0.45,-11.96
108,0,0.00,-1.14,-20.05,22.14
108,1,5.06,-0.37,0.50,-12.18
109,0,0.00,-1.14,-20.05,22.14
109,1,6.71,-0.42,0.56,-11.76
110,0,0.00,-1.14,-20.05,22.14
110,1,6.74,-0.51,1.34,-12.00
111,0,0.00,-1.14,-20.05,22.14
111,1,5.01,-0.51,0.66,-11.57
112,0,0.00,-1.14,-20.05,22.14
112,1,6.71,-0.53,0.71,-10.99
113,0,0.00,-1.14,-20.05,22.14
113,1,5.00,-0.59,0.76,-11.38
114,0,0.00,-1.14,-20.05,22.14
114,1,6.32,-0.61,0.78,-11.27
115,0,0.00,-1.14,-20.05,22.14
115,1,5.00,-0.63,0.83,-10.73
116,0,0.00,-1.14,-20.05,22.14
116,1,4.47,-0.66,0.85,-10.65
117,0,0.00,-1.14,-20.05,22.14
117,1,5.00,-0.71,0.90,-11.04
118,0,0.00,-1.14,-20.05,22.14
118,1,4.47,-0.74,0.93,-10.97
119,0,0.00,-1.14,-20.05,22.14
119,1,4.47,-0.76,0.96,-10.90
120,0,0.00,-1.14,-20.05,22.14
120,1,4.47,-0.79,0.98,-10.83
121,0,0.00,-1.14,-20.05,22.14
121,1,2.83,-0.81,1.01,-10.79
122,0,0.00,-1.14,-20.05,22.14
122,1,4.47,-0.84,1.03,-10.72
123,0,0.00,-1.14,-20.05,22.14
123,1,2.83,-0.86,1.06,-10.68
124,0,0.00,-1.14,-20.05,22.14
124,1,3.90,-0.73,1.61,-10.02
125,0,0.00,-1.14,-20.05,22.14
125,1,2.83,-0.76,1.63,-9.98
126,0,0.00,-1.14,-20.05,22.14
126,1,2.44,-0.91,1.11,-10.54
127,0,0.00,-1.14,-20.05,22.14
127,1,2.83,-0.93,1.14,-10.51
128,0,0.00,-1.14,-20.05,22.14
128,1,2.24,-0.91,1.14,-10.02
129,0,0.00,-1.14,-20.05,22.14
129,1,2.24,-0.96,1.16,-10.44
130,0,0.00,-1.14,-20.05,22.14
130,1,2.25,-0.77,0.97,-9.42
131,0,0.00,-1.14,-20.05,22.14
131,1,2.26,-0.98,1.18,-10.37
132,0,0.00,-1.14,-20.05,22.14
132,1,2.24,-0.95,1.18,-9.89
133,0,0.00,-1.14,-20.05,22.14
133,1,2.24,-1.00,1.20,-10.30
134,0,0.00,-1.14,-20.05,22.14
134,1,1.00,-0.97,1.20,-9.85
135,0,0.00,-1.14,-20.05,22.14
135,1,2.13,-0.81,1.02,-9.29
136,0,0.00,-1.14,-20.05,22.14
136,1,1.26,-1.02,1.23,-10.27
137,0,0.00,-1.14,-20.05,22.14
137,1,2.00,-1.02,1.22,-10.24
138,0,0.00,-1.14,-20.05,22.14
138,1,1.26,-1.00,1.25,-9.24
139,0,0.00,-1.14,-20.05,22.14
139,1,1.90,-0.99,1.22,-9.76
140,0,0.00,-1.14,-20.05,22.14
140,1,1.20,-1.35,0.56,-10.67
141,0,0.00,-1.14,-20.05,22.14
141,1,0.28,-1.19,0.39,-10.14
142,0,0.00,-1.14,-20.05,22.14
142,1,1.75,-1.04,1.24,-10.17
143,0,0.00,-1.14,-20.05,22.14
143,1,0.26,-1.14,0.68,-10.11
144,0,0.00,-1.14,-20.05,22.14
144,1,1.00,-1.10,0.67,-9.66
145,0,0.00,-1.14,-20.05,22.14
145,1,0.00,-1.10,0.67,-9.66
146,0,0.00,-1.14,-20.05,22.14
146,1,0.75,-1.00,1.22,-9.51
147,0,0.00,-1.14,-20.05,22.14
147,1,0.00,-1.00,1.22,-9.51
148,0,0.00,-1.14,-20.05,22.14
148,1,0.00,-1.00,1.22,-9.51
149,0,0.00,-1.14,-20.05,22.14
149,1,0.00,-1.00,1.22,-9.51
150,0,0.00,-1.14,-20.05,22.14
